,TeamA,TeamB,Stadium,Match_Day,Match_Time,Match_Date,TeamA_Position,TeamB_Position,Attendance,TeamA_goals,TeamB_goals
0,Al-Fateh,Al-Nassr Riad,Prince Abdullah bin Jalawi Stadium,22,  5:40 PM, 4/9/16,5,8,1614,2,1
0,Al-Faisaly FC,Al-Ahli Saudi FC,Al Majma'ah Sports City Stadium,22,  5:55 PM, 4/9/16,9,1,915,1,2
0,Al-Ittihad Club (Jeddah),Al-Khaleej,King Abdullah Sports City,22,  8:00 PM, 4/9/16,3,7,1787,4,1
0,Al-Hilal Saudi FC,Al-Shabab Club (Riyadh),King Fahd International Stadium,22,  8:00 PM, 4/9/16,2,6,5175,1,1
0,Al-Nassr Riad,Al-Raed,King Fahd International Stadium,23,  5:55 PM, 4/15/16,8,11,1838,1,2
0,Najran SC,Al-Hilal Saudi FC,King Abdullah Sports City,23,  8:10 PM, 4/15/16,13,2,18777,2,3
0,Al-Khaleej,Al-Faisaly FC,Prince Saud bin Jalawi Stadium,23,  5:45 PM, 4/16/16,7,9,180,2,1
0,Hajer Club,Al-Ahli Saudi FC,Prince Abdullah bin Jalawi Stadium,23,  5:45 PM, 4/16/16,14,1,3113,0,1
0,Al-Shabab Club (Riyadh),Al-Ittihad Club (Jeddah),King Fahd International Stadium,23,  8:10 PM, 4/16/16,6,3,2662,1,2
0,Al-Qadsiah FC,Al-Wehda FC,Prince Saud bin Jalawi Stadium,23,  5:45 PM, 4/17/16,12,10,822,1,1
0,Al-Taawoun FC,Al-Fateh,King Abdullah Sport City Stadium,23,  8:10 PM, 4/17/16,4,5,6999,1,2
0,Al-Shabab Club (Riyadh),Al-Wehda FC,King Fahd International Stadium,24,  5:55 PM, 4/22/16,6,10,411,1,1
0,Al-Faisaly FC,Najran SC,Al Majma'ah Sports City Stadium,24,  6:00 PM, 4/22/16,9,13,96,2,2
0,Al-Raed,Al-Taawoun FC,King Abdullah Sport City Stadium,24,  8:10 PM, 4/22/16,11,4,7154,1,1
0,Al-Nassr Riad,Al-Khaleej,King Fahd International Stadium,24,  6:00 PM, 4/23/16,8,7,1074,1,1
0,Hajer Club,Al-Ittihad Club (Jeddah),Prince Abdullah bin Jalawi Stadium,24,  5:45 PM, 4/24/16,14,3,2143,0,5
0,Al-Ahli Saudi FC,Al-Hilal Saudi FC,King Abdullah Sports City,24,  8:15 PM, 4/24/16,1,2,56293,3,1
0,Al-Fateh,Al-Qadsiah FC,Prince Abdullah bin Jalawi Stadium,24,  5:45 PM, 4/25/16,5,12,699,2,2
0,Al-Hilal Saudi FC,Hajer Club,King Fahd International Stadium,25,  8:00 PM, 5/8/16,2,14,2371,4,1
0,Al-Faisaly FC,Al-Shabab Club (Riyadh),Al Majma'ah Sports City Stadium,25,  8:00 PM, 5/8/16,9,6,63,0,0
0,Al-Raed,Al-Ahli Saudi FC,King Abdullah Sport City Stadium,25,  8:00 PM, 5/8/16,12,1,6449,2,5
0,Al-Ittihad Club (Jeddah),Al-Nassr Riad,King Abdullah Sports City,25,  8:00 PM, 5/8/16,3,8,3970,0,5
0,Al-Qadsiah FC,Al-Khaleej,Prince Saud bin Jalawi Stadium,25,  8:00 PM, 5/8/16,11,7,573,2,0
0,Al-Wehda FC,Al-Taawoun FC,King Abdul Aziz Stadium,25,  8:00 PM, 5/8/16,10,4,310,2,1
0,Al-Fateh,Najran SC,Prince Abdullah bin Jalawi Stadium,25,  8:00 PM, 5/8/16,5,13,282,3,1
0,Al-Hilal Saudi FC,Al-Faisaly FC,Prince Faisal bin Fahad Stadium,26,  6:10 PM, 5/12/16,2,10,2743,0,0
0,Al-Taawoun FC,Al-Ittihad Club (Jeddah),King Abdullah Sport City Stadium,26,  8:00 PM, 5/13/16,4,3,1274,2,1
0,Al-Ahli Saudi FC,Al-Fateh,King Abdullah Sports City,26,  8:00 PM, 5/13/16,1,5,60051,3,2
0,Al-Nassr Riad,Al-Shabab Club (Riyadh),King Fahd International Stadium,26,  8:00 PM, 5/13/16,8,6,1946,1,2
0,Al-Khaleej,Al-Wehda FC,Prince Mohamed bin Fahd Stadium,26,  5:55 PM, 5/14/16,7,9,93,1,4
0,Hajer Club,Al-Qadsiah FC,Prince Abdullah bin Jalawi Stadium,26,  7:45 PM, 5/14/16,14,11,106,0,2
0,Najran SC,Al-Raed,King Abdullah Sports City,26,  7:45 PM, 5/14/16,13,12,409,3,3
