,TeamA,TeamB,Stadium,Round,TeamA_Position,TeamB_Position,Attendance,TeamA_win_sum,TeamA_loss_sum,sum_goals_A,TeamA_draw_sum,TeamB_win_sum,TeamB_loss_sum,sum_goals_B,TeamB_draw_sum,Match_hour,Match_minute,Match_month,Match_day,Match_year,Match_day_name,Match_date_hijri_day,Match_date_hijri_month,feelslike,feelslikemax,feelslikemin,temp max:,temp min:,humidity:,precip:,preciptype:,visibility:,solarradiation:,solarenergy:,uvindex:,windspeed:,conditions:,description:
72,Hajer Club,Al-Fateh,Prince Abdullah bin Jalawi Stadium,12,7,10,1871,3,2,5,0,1,3,6,1,12,55,12,12,2014,Friday,20,2,18,24,13,24,13,47.3,0,,9.6,192.1,16.6,7,31.7,Clear,Clear conditions throughout the day.
78,Al-Orobah FC,Al-Fateh,Al-Orobah Club Stadium,13,11,10,2416,2,0,9,3,1,4,7,1,1,30,12,20,2014,Saturday,28,2,14,19,5.7,19,7.5,54.4,0,,10,154.9,13.4,6,16.6,Partially cloudy,Partly cloudy throughout the day.
50,Al-Shabab Club (Riyadh),Al-Fateh,King Fahd International Stadium,15,4,9,710,4,2,9,1,2,4,9,1,6,30,2,12,2015,Thursday,23,4,22.6,27.4,17,28.9,17,21.2,0,,4.4,214.2,18.4,8,30.4,Partially cloudy,Partly cloudy throughout the day.
14,Al-Faisaly FC,Al-Fateh,Al Majma'ah Sports City Stadium,16,7,10,250,2,3,9,3,2,4,11,2,4,30,2,20,2015,Friday,1,5,17.4,22.8,11.9,22.8,11.9,27,0,,,262.6,22.7,9,38.2,Clear,Clear conditions throughout the day.
118,Al-Hilal Saudi FC,Al-Fateh,King Fahd International Stadium,19,4,8,7782,6,1,17,1,2,5,13,2,6,30,3,13,2015,Friday,22,5,22.3,27.4,16.9,29,16.9,14.3,0,,9.3,270.5,23.3,9,16.6,Clear,Clear conditions throughout the day.
91,Al-Raed,Al-Fateh,King Abdullah Sport City Stadium,20,11,8,3713,4,4,12,1,2,6,13,2,6,40,3,21,2015,Saturday,1,6,24.2,30.3,19,29,19,69,0,,8.9,226.3,19.4,9,20.5,Partially cloudy,Becoming cloudy in the afternoon.
5,Najran SC,Al-Fateh,Al-Ukhdood Stadium,23,11,7,110,3,5,9,1,3,6,16,2,6,0,4,18,2015,Saturday,29,6,26.4,32.4,18.1,35.1,18.1,16.4,0,,10,348.9,30.3,10,11.2,Clear,Clear conditions throughout the day.
148,Al-Ahli Saudi FC,Al-Fateh,King Abdullah Sports City,24,2,7,20447,7,0,21,4,3,6,17,3,7,40,4,28,2015,Tuesday,9,7,31.2,35,26,35,26,41.8,0,,9.4,293.2,25.4,10,21.3,Clear,Clear conditions throughout the day.
102,Najran SC,Al-Ahli Saudi FC,Al-Ukhdood Stadium,2,11,5,4200,0,0,0,0,0,0,0,0,7,45,8,23,2014,Saturday,27,10,30.4,36.2,23,38.8,23,17,0,,10,296.7,25.6,10,18.4,Partially cloudy,Becoming cloudy in the afternoon.
144,Al-Hilal Saudi FC,Al-Ahli Saudi FC,King Fahd International Stadium,3,4,7,17069,1,0,4,0,0,0,1,1,7,40,8,31,2014,Sunday,5,11,33.8,39.9,26.2,43,27,15.1,0,,10,320.8,27.7,10,16,Clear,Clear conditions throughout the day.
70,Al-Shoalah FC,Al-Ahli Saudi FC,Al-Shoalah Club Stadium,6,14,5,1649,0,3,3,0,0,0,1,2,5,25,9,27,2014,Saturday,3,12,29.5,35.9,21.3,39,21.3,15.8,0,,,288.9,24.9,10,18,Clear,Clear conditions throughout the day.
34,Al-Raed,Al-Ahli Saudi FC,King Abdullah Sport City Stadium,8,14,5,489,0,2,1,1,1,0,3,2,6,50,10,25,2014,Saturday,1,1,27.3,34.1,20,36.2,20,30.9,0,,10,236.1,20.4,8,14.8,Clear,Clear conditions throughout the day.
99,Al-Fateh,Al-Ahli Saudi FC,Prince Abdullah bin Jalawi Stadium,11,10,2,4078,2,3,7,0,2,0,7,2,5,35,12,4,2014,Thursday,12,2,18.1,25,13,25,13,45.7,0,,9.7,196.6,17.1,7,31.5,Clear,Clear conditions throughout the day.
68,Al-Taawoun FC,Al-Ahli Saudi FC,King Abdullah Sport City Stadium,12,9,2,1352,2,2,8,1,3,0,8,2,5,40,12,12,2014,Friday,20,2,19.8,26.8,14,27,14,62.6,0,,10,179.2,15.5,7,14.8,Clear,Clear conditions throughout the day.
77,Hajer Club,Al-Ahli Saudi FC,Prince Abdullah bin Jalawi Stadium,14,7,2,2288,4,2,8,1,4,0,12,2,4,5,2,5,2015,Thursday,16,4,20.2,26.1,13,27,13,28.4,0,,8.8,219.8,19,8,18.4,Clear,Clear conditions throughout the day.
103,Al-Khaleej,Al-Ahli Saudi FC,Prince Mohamed bin Fahd Stadium,17,11,2,4216,1,3,6,3,5,0,15,2,4,20,2,28,2015,Saturday,9,5,17.6,24.9,10.1,24.9,10.1,54.5,0,,9.7,261.6,22.6,9,16.9,Clear,Clear conditions throughout the day.
109,Al-Shabab Club (Riyadh),Al-Ahli Saudi FC,King Fahd International Stadium,18,5,2,5799,4,2,11,2,5,0,16,3,6,40,3,7,2015,Saturday,16,5,19.2,25,14,25,14,36.1,0.2,['rain'],9.7,224,19.2,8,18.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.
154,Al-Nassr Riad,Al-Ahli Saudi FC,King Fahd International Stadium,20,1,2,28502,7,0,24,2,6,0,19,3,6,55,3,22,2015,Sunday,2,6,22.2,27.7,18,29,18,58.4,0,,7.5,257.8,22.2,9,37.1,Partially cloudy,Partly cloudy throughout the day.
98,Al-Orobah FC,Al-Ahli Saudi FC,Al-Orobah Club Stadium,22,14,2,4050,3,4,13,3,7,0,23,3,6,25,4,11,2015,Saturday,22,6,17.8,22,13,22,13,25.6,0,,10,324.1,27.9,10,31.7,Clear,Clear conditions throughout the day.
46,Al-Faisaly FC,Al-Ahli Saudi FC,Al Majma'ah Sports City Stadium,23,6,2,650,4,4,15,3,8,0,26,3,8,0,4,18,2015,Saturday,29,6,21.5,26.5,15.3,27.3,15.3,31.5,0,,,274.9,23.7,8,42.8,Clear,Clear conditions throughout the day.
160,Al-Ittihad Club (Jeddah),Al-Ahli Saudi FC,King Abdullah Sports City,26,4,2,42832,8,3,20,1,9,0,30,3,8,0,5,15,2015,Friday,26,7,30.9,33.8,28.1,34.1,27.3,47.7,0,,9.2,314.9,27.3,10,32.7,Clear,Clear conditions throughout the day.
111,Al-Raed,Al-Nassr Riad,King Abdullah Sport City Stadium,2,12,2,6069,0,0,0,0,0,0,0,0,7,45,8,23,2014,Saturday,27,10,37.4,45,29,45,30,22.8,0,,10,299.2,25.8,10,13,Clear,Clear conditions throughout the day.
120,Al-Khaleej,Al-Nassr Riad,Prince Mohamed bin Fahd Stadium,3,11,2,7958,0,0,1,1,1,0,2,0,7,40,8,30,2014,Saturday,4,11,43.1,48.7,36.7,41.7,30.9,55.9,0,,7.9,269.8,23.5,9,22.4,Clear,Clear conditions throughout the day.
79,Al-Shoalah FC,Al-Nassr Riad,Al-Shoalah Club Stadium,5,13,1,2450,0,2,2,0,2,0,3,0,7,20,9,18,2014,Thursday,23,11,31.1,37,26,40,26,14.8,0,,,298,25.7,10,29.5,Clear,Clear conditions throughout the day.
172,Al-Ahli Saudi FC,Al-Nassr Riad,King Abdullah Sports City,7,5,3,60010,2,0,8,1,3,0,5,0,6,55,10,18,2014,Saturday,24,12,33.9,39,26.3,35,26.3,63.1,0,,9.9,249,21.6,9,21.1,Clear,Clear conditions throughout the day.
110,Al-Taawoun FC,Al-Nassr Riad,King Abdullah Sport City Stadium,9,11,1,5975,1,1,4,1,3,1,6,0,5,45,10,30,2014,Thursday,6,1,27,32.2,22,34.3,22,28.3,0,,10,231.3,19.9,8,27.7,Clear,Clear conditions throughout the day.
90,Hajer Club,Al-Nassr Riad,Prince Abdullah bin Jalawi Stadium,10,7,1,3705,3,1,5,0,4,1,7,0,5,35,11,30,2014,Sunday,8,2,15,19,11,19,11,54.3,1,['rain'],10,177.8,15.4,7,22.3,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.
145,Al-Shabab Club (Riyadh),Al-Nassr Riad,King Fahd International Stadium,13,3,1,18250,4,1,9,1,5,1,11,0,1,15,12,19,2014,Friday,27,2,16.4,23,9,23,9,49,0,,10,196,16.8,7,13,Clear,Clear conditions throughout the day.
87,Najran SC,Al-Nassr Riad,Al-Ukhdood Stadium,14,9,1,2983,2,2,7,1,6,1,14,0,2,0,2,5,2015,Thursday,16,4,20.4,27.4,11,29.1,11,15.6,0,,10,283,24.6,10,14.8,Clear,Clear conditions throughout the day.
124,Al-Fateh,Al-Nassr Riad,Prince Abdullah bin Jalawi Stadium,17,9,1,8525,2,4,9,1,7,1,18,0,4,20,2,28,2015,Saturday,9,5,17.7,25.8,10,25.8,10,28.3,0,,10,274.3,23.8,9,18.4,Clear,Clear conditions throughout the day.
114,Al-Orobah FC,Al-Nassr Riad,Al-Orobah Club Stadium,19,13,1,6200,3,2,11,3,7,1,19,1,2,15,3,13,2015,Friday,22,5,14.9,21,7.8,21,8,37.6,0,,10,277.2,23.8,9,22.3,Clear,Clear conditions throughout the day.
169,Al-Ittihad Club (Jeddah),Al-Nassr Riad,King Abdullah Sports City,21,4,1,59137,7,2,15,1,8,1,21,1,8,10,4,4,2015,Saturday,15,6,28.3,34,21.8,33.6,21.8,51.9,0,,10,312.6,27.1,10,20.4,Clear,Clear conditions throughout the day.
75,Al-Faisaly FC,Al-Nassr Riad,Al Majma'ah Sports City Stadium,24,6,1,2229,4,5,16,3,9,1,24,1,8,0,4,26,2015,Sunday,7,7,21.9,30,13.4,32.3,13.4,13.8,0,,,319.7,27.5,10,18.7,Clear,Clear conditions throughout the day.
150,Al-Hilal Saudi FC,Al-Nassr Riad,King Fahd International Stadium,25,3,1,23193,9,1,26,1,10,1,29,1,8,0,5,10,2015,Sunday,21,7,30.3,35,24,38,24,11.8,0,,9.9,351.3,30.1,10,25.9,Clear,Clear conditions throughout the day.
137,Al-Nassr Riad,Najran SC,King Fahd International Stadium,1,2,13,12620,0,0,0,0,0,0,0,0,8,15,8,15,2014,Friday,19,10,34.1,45,25.9,45,25.9,9.2,0,,10,338.3,29.3,10,22.3,Clear,Clear conditions throughout the day.
23,Al-Taawoun FC,Najran SC,King Abdullah Sport City Stadium,3,10,9,357,0,0,0,0,0,1,1,0,7,40,8,30,2014,Saturday,4,11,35.1,44,26.4,44,27,18.3,0,,10,317.8,27.4,10,22.3,Clear,Clear conditions throughout the day.
127,Al-Hilal Saudi FC,Najran SC,King Fahd International Stadium,4,4,10,10087,1,0,4,1,0,1,1,1,7,25,9,12,2014,Friday,17,11,32.9,38.4,27.3,40.7,28.6,16,0,,9.8,269.6,23.3,9,16,Clear,Clear conditions throughout the day.
53,Al-Shabab Club (Riyadh),Najran SC,King Fahd International Stadium,6,4,11,835,3,0,6,0,0,2,2,1,7,15,9,27,2014,Saturday,3,12,29.4,35.1,22,38,22,16.3,0,,8.9,292.2,25.2,10,18.4,Clear,Clear conditions throughout the day.
66,Hajer Club,Najran SC,Prince Abdullah bin Jalawi Stadium,8,7,11,1228,3,0,5,0,0,3,3,1,4,45,10,24,2014,Friday,30,12,26.8,33.9,19.9,36,19.9,37.3,0,,10,239.3,20.7,8,22.3,Clear,Clear conditions throughout the day.
17,Al-Fateh,Najran SC,Prince Abdullah bin Jalawi Stadium,10,8,11,305,1,3,5,0,1,3,6,1,12,55,11,29,2014,Saturday,7,2,18.3,23,15,23,15,73,0,,7.8,176.8,15.3,7,31.5,Clear,Clear conditions throughout the day.
58,Al-Khaleej,Najran SC,Prince Mohamed bin Fahd Stadium,11,13,9,1052,0,1,5,3,1,4,7,1,3,45,12,4,2014,Thursday,12,2,19.5,25.9,14,25.9,14,57.5,0,,9.9,176.3,15.3,7,29.6,Clear,Clear conditions throughout the day.
55,Al-Raed,Najran SC,King Abdullah Sport City Stadium,13,14,9,921,1,4,5,1,2,4,8,1,3,55,12,21,2014,Sunday,29,2,17.3,22,14.2,22,14.2,63.3,0,,10,155.8,13.5,6,27.7,Partially cloudy,Partly cloudy throughout the day.
153,Al-Ahli Saudi FC,Najran SC,King Abdullah Sports City,15,2,10,28358,4,0,14,3,2,5,10,1,6,30,3,11,2015,Wednesday,20,5,28.9,32.6,24.8,34.7,24.8,42.8,0,,9.7,264.9,22.9,9,22.5,Clear,Clear conditions throughout the day.
163,Al-Ittihad Club (Jeddah),Najran SC,King Abdullah Sports City,18,3,12,47026,5,2,10,1,2,6,11,1,6,30,3,6,2015,Friday,15,5,27.4,32.2,24,31,24,58.4,0,,10,221.6,19.2,8,20.1,Partially cloudy,Partly cloudy throughout the day.
0,Al-Faisaly FC,Najran SC,Al Majma'ah Sports City Stadium,20,6,10,53,4,3,15,3,2,7,12,1,4,45,3,22,2015,Sunday,2,6,22.3,28,15.5,29.9,15.5,23.1,0,,,304.7,26.3,10,22.7,Partially cloudy,Partly cloudy throughout the day.
32,Al-Shoalah FC,Najran SC,Al-Shoalah Club Stadium,22,13,11,482,3,5,13,2,3,7,13,1,5,55,4,10,2015,Friday,21,6,30.9,36.6,22.8,40,22.8,13.8,0,,5.8,290.1,25.1,10,35.3,Clear,Clear conditions throughout the day.
135,Al-Ittihad Club (Jeddah),Al-Faisaly FC,King Abdul Aziz Stadium,2,4,6,11499,1,0,1,0,0,0,0,0,7,45,8,8,2014,Friday,12,10,36.1,43.5,29.4,40.8,29.6,33.2,0,,10,320.9,27.7,10,10.8,Clear,Clear conditions throughout the day.
28,Al-Fateh,Al-Faisaly FC,Prince Abdullah bin Jalawi Stadium,3,14,5,403,0,1,0,0,0,1,1,0,5,45,8,29,2014,Friday,3,11,40.4,46,33.4,45,30.2,39.3,0,,8.9,307.8,26.7,10,22.3,Clear,Clear conditions throughout the day.
71,Al-Orobah FC,Al-Faisaly FC,Al-Orobah Club Stadium,5,7,5,1859,2,0,6,0,1,1,3,0,6,0,9,17,2014,Wednesday,22,11,26.5,32.4,19,35,19,22.3,0,,10,302.9,26,10,31.5,Clear,Clear conditions throughout the day.
48,Najran SC,Al-Faisaly FC,Al-Ukhdood Stadium,7,11,6,670,0,1,2,1,1,1,4,1,5,20,10,16,2014,Thursday,22,12,24.8,30.6,17.8,33,17.8,19.3,0,,10,300.8,25.9,10,14.8,Clear,Clear conditions throughout the day.
138,Al-Ahli Saudi FC,Al-Faisaly FC,King Abdullah Sports City,10,3,6,12938,4,0,12,1,2,1,5,1,5,35,11,30,2014,Sunday,8,2,28.3,33.5,24.3,31,24.3,54.7,0,,10,205.7,17.9,8,20.6,Partially cloudy,Partly cloudy throughout the day.
132,Al-Nassr Riad,Al-Faisaly FC,King Fahd International Stadium,11,1,6,10821,4,0,12,0,2,1,6,2,5,35,12,4,2014,Thursday,12,2,15.1,22.4,6.8,22.4,8,54.9,0,,10,211.9,18.5,8,8.8,Clear,Clear conditions throughout the day.
64,Al-Raed,Al-Faisaly FC,King Abdullah Sport City Stadium,14,12,6,1176,2,4,8,1,2,1,6,3,4,30,2,7,2015,Saturday,18,4,19.4,27.6,10.8,29,10.8,40.8,0,,10,184.7,15.9,8,14.8,Partially cloudy,Partly cloudy throughout the day.
26,Hajer Club,Al-Faisaly FC,Prince Abdullah bin Jalawi Stadium,17,8,7,397,4,3,12,2,2,2,7,3,4,20,3,1,2015,Sunday,10,5,19.4,27.4,11,29,11,22,0,,10,264.4,22.9,9,25.9,Clear,Clear conditions throughout the day.
105,Al-Taawoun FC,Al-Faisaly FC,King Abdullah Sport City Stadium,19,7,6,4322,3,3,13,2,3,2,9,3,4,50,3,13,2015,Friday,22,5,20.7,25.2,16,25.2,16,47.9,0,,4.4,234.9,20.4,8,33.5,Partially cloudy,Partly cloudy throughout the day.
40,Al-Shabab Club (Riyadh),Al-Faisaly FC,Prince Faisal bin Fahad Stadium,21,5,6,542,4,4,13,2,4,2,10,3,5,50,4,3,2015,Friday,14,6,23.1,28.9,16,31,16,24.3,0,,9,322.3,27.8,10,11.2,Clear,Clear conditions throughout the day.
107,Al-Hilal Saudi FC,Al-Faisaly FC,King Fahd International Stadium,22,3,6,4616,7,1,20,1,4,3,11,3,8,0,4,11,2015,Saturday,22,6,31.8,36,28.4,39,30.3,12.5,0,,5.2,295.2,25.5,10,32.3,Clear,Clear conditions throughout the day.
30,Al-Khaleej,Al-Faisaly FC,Prince Saud bin Jalawi Stadium,25,8,7,420,3,5,12,4,4,4,11,3,6,0,5,10,2015,Sunday,21,7,33.4,39.1,27.8,41.9,28.2,26.5,0,,8.4,331.9,28.7,10,22.1,Clear,Clear conditions throughout the day.
24,Al-Faisaly FC,Al-Raed,Al Majma'ah Sports City Stadium,1,7,9,361,0,0,0,0,0,0,0,0,7,50,8,15,2014,Friday,19,10,32.1,43.4,25.5,43.4,25.5,10.2,0,,,337,29.1,10,31.7,Partially cloudy,Becoming cloudy in the afternoon.
86,Al-Orobah FC,Al-Raed,Al-Orobah Club Stadium,3,6,13,2916,1,0,4,0,0,1,0,0,6,25,8,30,2014,Saturday,4,11,31.6,38.4,25.1,41.1,25.1,17.8,0,,10,316.5,27.5,10,24.1,Clear,Clear conditions throughout the day.
9,Hajer Club,Al-Raed,Prince Abdullah bin Jalawi Stadium,5,8,12,160,1,0,2,0,0,2,1,0,5,20,9,17,2014,Wednesday,22,11,34.1,44,26,44,26,20.1,0,,10,295.7,25.5,10,24.1,Clear,Clear conditions throughout the day.
36,Al-Fateh,Al-Raed,Prince Abdullah bin Jalawi Stadium,7,10,13,510,0,3,2,0,0,3,2,0,4,50,10,17,2014,Friday,23,12,30.1,36.9,22.9,40,22.9,38.4,0,,9,251.1,21.7,9,33.5,Clear,Clear conditions throughout the day.
82,Al-Shabab Club (Riyadh),Al-Raed,King Fahd International Stadium,9,2,14,2500,4,0,8,0,0,4,4,0,5,45,10,30,2014,Thursday,6,1,25.6,30.2,21,32,21,39.3,0,,8.2,239.1,20.7,8,29.5,Clear,Clear conditions throughout the day.
121,Al-Hilal Saudi FC,Al-Raed,King Fahd International Stadium,11,3,14,8098,4,1,12,1,0,4,4,1,5,35,12,5,2014,Friday,13,2,16.3,23,9,23,9,53.7,0,,10,209.7,18.1,8,8.1,Clear,Clear conditions throughout the day.
136,Al-Nassr Riad,Al-Raed,King Fahd International Stadium,15,1,13,11840,5,0,13,1,0,5,5,1,6,30,2,14,2015,Saturday,25,4,18.2,21.7,15.7,21.7,15.7,48.2,0,,5.1,219.3,18.9,8,14.8,Partially cloudy,Partly cloudy throughout the day.
156,Al-Ittihad Club (Jeddah),Al-Raed,King Abdullah Sports City,19,3,10,32760,6,2,12,1,0,5,7,2,6,35,3,15,2015,Sunday,24,5,26.9,31.5,23.5,31.8,23.5,58.4,0,,9.9,255.6,22.2,8,24.1,Partially cloudy,Partly cloudy throughout the day.
165,Al-Ahli Saudi FC,Al-Raed,King Abdullah Sports City,21,2,12,48763,6,0,20,4,0,6,8,2,7,45,4,3,2015,Friday,14,6,27.6,32.8,23.2,32.1,23.2,54.1,0,,9.7,307.9,26.5,10,19,Clear,Clear conditions throughout the day.
18,Al-Khaleej,Al-Raed,Prince Saud bin Jalawi Stadium,23,9,12,312,2,5,9,4,0,7,8,2,5,45,4,18,2015,Saturday,29,6,26.5,29.8,23.8,31.8,23.8,31.5,0,,8.6,283.4,24.6,10,44.1,Clear,Clear conditions throughout the day.
7,Al-Shoalah FC,Al-Raed,Al-Shoalah Club Stadium,25,13,12,143,4,5,15,2,0,8,8,2,8,0,5,10,2015,Sunday,21,7,32.1,37.4,26.4,41,27.1,11.6,0,,8.8,343.6,29.7,10,29.5,Partially cloudy,Partly cloudy throughout the day.
166,Al-Ahli Saudi FC,Hajer Club,King Abdullah Sports City,1,1,14,58600,0,0,0,0,0,0,0,0,7,50,8,16,2014,Saturday,20,10,37.1,41.9,31.8,37.7,30.1,46.2,0,,10,302,26.1,10,30.3,Clear,Clear conditions throughout the day.
67,Al-Shabab Club (Riyadh),Hajer Club,King Fahd International Stadium,3,1,8,1333,1,0,2,0,0,1,1,0,7,40,8,29,2014,Friday,3,11,35.5,44,28.8,44,30.8,10.9,0,,10,315.7,27.3,10,17.2,Partially cloudy,Partly cloudy throughout the day.
15,Al-Faisaly FC,Hajer Club,Al Majma'ah Sports City Stadium,4,5,8,275,1,0,1,0,0,2,1,0,5,45,9,11,2014,Thursday,16,11,31.8,38.7,26.1,41.8,26.4,15.2,0,,,281,24.1,9,24.8,Clear,Clear conditions throughout the day.
44,Al-Khaleej,Hajer Club,Prince Mohamed bin Fahd Stadium,6,12,8,628,0,1,1,1,0,3,1,0,5,10,9,28,2014,Sunday,4,12,33.2,39.6,24.9,38.8,24.9,57.4,0,,7.7,266.8,23.1,9,16.9,Clear,Clear conditions throughout the day.
164,Al-Ittihad Club (Jeddah),Hajer Club,King Abdullah Sports City,9,4,7,47300,4,0,7,0,0,3,3,1,5,45,10,31,2014,Friday,7,1,29,32.8,24,33.8,24,48.4,0,,10,241.9,20.9,9,22.3,Clear,Clear conditions throughout the day.
6,Al-Shoalah FC,Hajer Club,Al-Shoalah Club Stadium,11,12,7,120,1,4,4,1,1,3,4,1,3,45,12,4,2014,Thursday,12,2,15.9,23,8.7,23,10,47.2,0,,,212.3,18.3,8,14.8,Partially cloudy,Partly cloudy throughout the day.
65,Al-Taawoun FC,Hajer Club,King Abdullah Sport City Stadium,15,6,8,1211,2,3,10,2,1,4,5,1,4,30,2,12,2015,Thursday,23,4,19,23,15,23,15,35.6,0,,5.9,235.3,20.4,8,37.1,Clear,Clear conditions throughout the day.
97,Al-Raed,Hajer Club,King Abdullah Sport City Stadium,18,9,10,3993,3,4,10,1,1,5,6,1,12,0,3,6,2015,Friday,15,5,17.7,23,13.2,23,13.2,50,0,,10,196.9,17.1,7,22.3,Partially cloudy,Becoming cloudy in the afternoon.
88,Al-Orobah FC,Hajer Club,Al-Orobah Club Stadium,20,13,9,3100,3,3,11,3,1,6,7,1,2,15,3,21,2015,Saturday,1,6,16.8,23,11,23,11,30.6,0,,10,286.2,24.8,10,13,Clear,Clear conditions throughout the day.
129,Al-Nassr Riad,Hajer Club,King Fahd International Stadium,23,1,10,10387,8,1,29,2,2,6,10,1,6,0,4,17,2015,Friday,28,6,27.6,33.2,23,35.9,23,15,0,,3.7,315.3,27.3,10,31.7,Clear,Clear conditions throughout the day.
84,Al-Hilal Saudi FC,Hajer Club,King Fahd International Stadium,26,3,11,2677,9,2,26,1,2,7,10,1,8,0,5,15,2015,Friday,26,7,31.4,36,26.7,38,28,18.3,0,,5.1,318.4,27.8,10,33.5,Clear,Clear conditions throughout the day.
147,Al-Hilal Saudi FC,Al-Orobah FC,King Fahd International Stadium,2,1,7,20000,0,0,0,0,0,0,0,0,7,45,8,8,2014,Friday,12,10,32.4,37.9,26,41,27,12.9,0,,8.6,336.3,29.2,10,29.5,Clear,Clear conditions throughout the day.
161,Al-Ittihad Club (Jeddah),Al-Orobah FC,King Abdullah Sports City,4,3,7,43744,2,0,3,0,0,1,1,0,7,25,9,12,2014,Friday,17,11,34.3,41.4,26.9,42.2,27.7,22.1,0,,10,289.9,24.9,9,20.5,Clear,Clear conditions throughout the day.
133,Al-Nassr Riad,Al-Orobah FC,King Fahd International Stadium,6,1,7,11008,2,0,8,0,0,2,2,0,7,15,9,28,2014,Sunday,4,12,28.6,34,21.8,36.8,21.8,16.4,0,,9.4,293.4,25.3,10,19.6,Clear,Clear conditions throughout the day.
29,Hajer Club,Al-Orobah FC,Prince Abdullah bin Jalawi Stadium,7,7,8,420,2,0,4,0,0,3,3,0,4,50,10,16,2014,Thursday,22,12,31.4,37.4,25,39.7,25,42.4,0,,8,254.1,21.9,9,22.3,Clear,Clear conditions throughout the day.
155,Al-Ahli Saudi FC,Al-Orobah FC,King Abdullah Sports City,9,3,9,29968,3,0,10,1,0,4,3,0,5,45,10,30,2014,Thursday,6,1,30.1,34,24.5,34.2,24.5,55.5,0,,10,238.6,20.7,8,22.8,Clear,Clear conditions throughout the day.
16,Al-Shoalah FC,Al-Orobah FC,Al-Shoalah Club Stadium,10,13,10,289,1,4,4,0,0,5,3,0,1,5,11,29,2014,Saturday,7,2,17.4,21,14,21,14,68.7,0,,7.1,149.1,12.9,7,25.9,Partially cloudy,Partly cloudy throughout the day.
42,Najran SC,Al-Orobah FC,Al-Ukhdood Stadium,12,8,12,557,1,2,5,1,0,5,3,1,1,30,12,13,2014,Saturday,21,2,17.1,25.8,9.8,25.8,9.8,27.4,0,,10,249.5,21.5,9,18.4,Clear,Clear conditions throughout the day.
74,Al-Taawoun FC,Al-Orobah FC,King Abdullah Sport City Stadium,14,8,13,2000,2,3,9,1,0,6,3,1,4,30,2,8,2015,Sunday,19,4,23.7,30.2,17.8,32,17.8,30.8,0,,8.8,220.2,18.9,8,27.7,Clear,Clear conditions throughout the day.
10,Al-Faisaly FC,Al-Orobah FC,Al Majma'ah Sports City Stadium,18,6,13,170,3,3,13,3,0,6,4,2,4,45,3,6,2015,Friday,15,5,16.1,20.6,12.4,20.6,12.4,47.1,0,,,154.7,13.3,5,25.2,Partially cloudy,Partly cloudy throughout the day.
31,Al-Khaleej,Al-Orobah FC,Al-Qadasiya Club Stadium,21,11,13,434,1,5,7,4,0,7,4,2,5,40,4,4,2015,Saturday,15,6,24.1,29.2,17.3,31.2,17.3,37.9,0,,10,267.5,23,10,23.9,Clear,Clear conditions throughout the day.
49,Al-Shabab Club (Riyadh),Al-Orobah FC,King Fahd International Stadium,24,5,13,674,5,4,15,2,0,8,4,2,6,0,4,26,2015,Sunday,7,7,22.8,29,16,31,16,14.4,0,,8.5,336,29,10,18.4,Clear,Clear conditions throughout the day.
1,Al-Khaleej,Al-Fateh,Prince Saud bin Jalawi Stadium,1,13,3,315,0,0,0,0,0,0,0,0,5,55,8,20,2015,Thursday,5,11,45.5,50.2,40,44.8,31.1,52.3,0,,7.1,307.1,26.5,10,23.1,Clear,Clear conditions throughout the day.
22,Al-Raed,Al-Fateh,King Abdullah Sport City Stadium,4,14,6,3187,0,1,0,0,1,0,2,0,5,15,10,16,2015,Friday,3,1,30.7,35.7,26,37,26,27.8,0,,9.7,227.2,19.8,8,16.6,Partially cloudy,Partly cloudy throughout the day.
45,Al-Faisaly FC,Al-Fateh,Al Majma'ah Sports City Stadium,7,9,7,205,1,1,4,0,1,0,2,1,1,15,12,25,2015,Friday,14,3,7.1,14.1,2.2,14.1,4.6,65.3,0.5,['rain'],,183.4,15.8,7,23.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.
58,Al-Nassr Riad,Al-Fateh,King Fahd International Stadium,9,6,7,3686,1,1,3,2,2,0,4,1,3,45,11,26,2015,Thursday,14,2,17.8,21,15,21,15,84.6,0,,3.8,153.1,13.3,6,11.2,Partially cloudy,Partly cloudy throughout the day.
75,Al-Qadsiah FC,Al-Fateh,Prince Saud bin Jalawi Stadium,11,12,5,445,1,2,5,2,2,1,5,1,3,30,12,11,2015,Friday,29,2,16.4,22.7,11.9,22.7,11.9,60.8,0,,9.2,180.9,15.7,7,19.8,Clear,Clear conditions throughout the day.
83,Najran SC,Al-Fateh,Al-Ukhdood Stadium,12,13,5,202,1,4,4,1,2,2,6,1,6,0,12,15,2015,Tuesday,4,3,19.3,24,15,24,15,38.3,0,,10,231.5,20.1,8,18.4,Clear,Clear conditions throughout the day.
100,Al-Hilal Saudi FC,Al-Fateh,King Fahd International Stadium,15,1,7,11104,5,1,16,0,3,2,9,1,4,20,2,5,2016,Friday,26,4,12.2,19.8,4,19.8,4,34.4,0,,10,252.2,21.8,9,11.2,Clear,Clear conditions throughout the day.
