,TeamA,TeamB,Stadium,Round,TeamA_Position,TeamB_Position,Attendance,TeamA_win_sum,TeamA_loss_sum,sum_goals_A,TeamA_draw_sum,TeamB_win_sum,TeamB_loss_sum,sum_goals_B,TeamB_draw_sum,Match_hour,Match_minute,Match_month,Match_day,Match_year,Match_day_name,Match_date_hijri_day,Match_date_hijri_month,feelslike,feelslikemax,feelslikemin,temp max:,temp min:,humidity:,precip:,preciptype:,visibility:,solarradiation:,solarenergy:,uvindex:,windspeed:,conditions:,description:
168,Al-Ittihad Club (Jeddah),Al-Faisaly FC,King Abdullah Sports City,25,3,8,10530,7,4,23,1,2,5,7,5,7,50,4,29,2017,Saturday,3,8,30.7,35.7,27.1,35.5,26.7,46.1,0.5,['rain'],9.8,177.1,15.3,7,23.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.
16,Al-Hilal Saudi FC,Ettifaq FC,King Fahd International Stadium,3,3,5,7484,1,0,2,0,0,0,0,0,7,45,9,16,2016,Friday,15,12,32.6,38.4,26.5,41,27,19.6,0,,9.7,293.5,25.4,10,14.8,Partially cloudy,Partly cloudy throughout the day.
29,Al-Fateh,Ettifaq FC,Prince Abdullah bin Jalawi Stadium,5,14,4,1408,0,1,0,0,1,0,2,0,4,55,10,14,2016,Friday,13,1,27.3,34.2,21,37,21,23.5,0,,10,252.9,21.9,9,18.4,Clear,Clear conditions throughout the day.
43,Al-Raed,Ettifaq FC,King Abdullah Sport City Stadium,7,6,7,1942,3,1,9,0,1,0,2,1,5,0,10,28,2016,Friday,27,1,25.4,32.8,17,35,17,26.5,0,,10,194.7,17,7,22.3,Clear,Clear conditions throughout the day.
58,Al-Khaleej,Ettifaq FC,Prince Saud bin Jalawi Stadium,9,13,6,863,0,3,6,1,1,1,2,1,3,35,11,19,2016,Saturday,19,2,22.3,28.5,17.1,29.9,17.1,60.5,0,,6.6,198.4,16.9,7,18.9,Clear,Clear conditions throughout the day.
73,Al-Ittihad Club (Jeddah),Ettifaq FC,King Abdullah Sports City,11,3,6,28532,2,2,5,0,2,1,4,1,5,40,12,2,2016,Friday,3,3,29,32.1,24,29.1,24,69.3,2.7,['rain'],9.7,122.1,10.5,5,24.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
86,Al-Shabab Club (Riyadh),Ettifaq FC,Prince Faisal bin Fahad Stadium,13,5,6,757,2,0,8,4,2,2,5,1,3,50,12,15,2016,Thursday,16,3,15.4,17.9,12,17.9,12,38.1,0,,4.9,169.5,14.7,7,29.5,Partially cloudy,Partly cloudy throughout the day.
95,Al-Ahli Saudi FC,Ettifaq FC,King Abdullah Sports City,14,2,6,14743,4,1,13,1,2,2,6,2,5,45,12,22,2016,Thursday,23,3,26.8,31.4,23,31.3,23,50.9,0,,10,179,15.5,7,17.9,Partially cloudy,Partly cloudy throughout the day.
103,Al-Nassr Riad,Ettifaq FC,Prince Faisal bin Fahad Stadium,15,4,6,4638,5,1,14,1,2,3,7,2,5,50,1,1,2017,Sunday,3,4,18.9,27.4,11.1,29,11.1,37.6,0,,10,209.3,17.9,8,11.2,Clear,Clear conditions throughout the day.
114,Al-Batin FC,Ettifaq FC,Al-Batin Club Stadium,17,9,7,2927,3,2,5,3,2,4,7,2,6,20,2,2,2017,Thursday,5,5,2.9,7.4,-0.7,9.1,3,74.2,0,,6.5,218.9,18.9,8,32.8,Clear,Clear conditions throughout the day.
129,Al-Wehda FC,Ettifaq FC,King Abdul Aziz Stadium,19,12,8,1381,3,5,16,0,2,5,7,2,6,25,2,17,2017,Friday,20,5,20.3,25.7,15.7,25.7,15.7,46.8,0,,10,256.4,22.2,9,14.1,Partially cloudy,Partly cloudy throughout the day.
140,Al-Taawoun FC,Ettifaq FC,King Abdullah Sport City Stadium,21,6,10,2420,4,4,13,2,2,6,8,2,4,50,3,9,2017,Thursday,10,6,21.1,26.3,14.2,27,14.2,35.6,0,,10,282.5,24.4,10,25.9,Clear,Clear conditions throughout the day.
154,Al-Faisaly FC,Ettifaq FC,Al Majma'ah Sports City Stadium,23,9,8,377,4,5,16,2,2,7,8,2,6,0,4,13,2017,Thursday,16,7,28.8,35.5,22.7,38.7,22.7,14.5,0,,,315.6,27,10,35.3,Clear,Clear conditions throughout the day.
170,Al-Qadsiah FC,Ettifaq FC,Prince Saud bin Jalawi Stadium,25,11,9,642,3,4,15,4,2,7,11,3,7,50,4,29,2017,Saturday,3,8,31.4,36.9,25.1,38.9,25.1,31.7,0,,8.8,267.6,23.3,9,26.1,Clear,Clear conditions throughout the day.
10,Al-Batin FC,Al-Shabab Club (Riyadh),Al-Batin Club Stadium,2,8,11,3020,0,0,0,0,0,0,0,0,6,10,8,20,2016,Saturday,17,11,35.1,42.4,28.8,43,30,22.6,0,,10,299.2,25.8,10,24.1,Clear,Clear conditions throughout the day.
28,Al-Khaleej,Al-Shabab Club (Riyadh),Prince Saud bin Jalawi Stadium,5,10,6,498,0,1,4,1,0,1,0,0,4,55,10,14,2016,Friday,13,1,28.3,35.1,21.3,37.7,21.3,48,0,,10,243.9,21,9,25.6,Clear,Clear conditions throughout the day.
37,Al-Ittihad Club (Jeddah),Al-Shabab Club (Riyadh),King Abdullah Sports City,6,4,3,32196,1,0,3,0,1,1,2,0,7,15,10,20,2016,Thursday,19,1,34.3,41.5,25.6,36.6,25.6,63.1,0,,9.9,243.8,20.9,9,24.6,Clear,Clear conditions throughout the day.
49,Al-Faisaly FC,Al-Shabab Club (Riyadh),Al Majma'ah Sports City Stadium,8,10,3,462,2,1,6,1,2,1,3,0,3,55,11,3,2016,Thursday,3,2,20.8,27.5,14.5,29.1,14.5,36.8,0,,,213.4,18.3,8,22.3,Partially cloudy,Becoming cloudy in the afternoon.
68,Al-Raed,Al-Shabab Club (Riyadh),King Abdullah Sport City Stadium,10,7,5,2967,4,1,11,0,3,1,4,0,3,55,11,26,2016,Saturday,26,2,15,20,11,20,11,83,1.1,['rain'],9.5,108.5,9.3,4,22.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.
74,Al-Hilal Saudi FC,Al-Shabab Club (Riyadh),Prince Faisal bin Fahad Stadium,11,1,5,16075,3,2,9,0,3,1,6,1,5,55,12,2,2016,Friday,3,3,22.2,29.1,17,30.8,17,54.1,0,,10,178.5,15.4,7,18.4,Clear,Clear conditions throughout the day.
91,Al-Qadsiah FC,Al-Shabab Club (Riyadh),Prince Saud bin Jalawi Stadium,14,9,5,545,1,3,5,2,3,2,6,1,3,30,12,21,2016,Wednesday,22,3,16.4,20,12.2,20,12.2,61.3,0,,7.6,153.7,13.2,6,31.5,Clear,Clear conditions throughout the day.
109,Al-Ahli Saudi FC,Al-Shabab Club (Riyadh),King Abdullah Sports City,16,2,5,40591,6,1,19,1,3,2,7,2,6,15,1,27,2017,Friday,29,4,26,30.7,22.7,28,22.7,67.4,1.7,['rain'],10,125.4,10.9,4,23.5,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.
